respondent_id,score,comment,date,customer_segment
R001,9,"Пользуемся больше двух лет, всё работает стабильно. Техподдержка отвечает быстро.",2025-11-02,enterprise
R002,3,"Доставка опять задержалась на 5 дней. Уже третий раз за квартал. Менеджер обещал разобраться, но ничего не изменилось.",2025-11-02,smb
R003,7,"В целом нормально. Иногда бывают мелкие баги в личном кабинете, но ничего критичного.",2025-11-03,smb
R004,1,"Поддержка не отвечает по 3 дня. Написал в чат — тишина. Позвонил — 40 минут на линии. Это неприемлемо за наши деньги.",2025-11-03,enterprise
R005,10,"Интеграция с 1С заработала с первого раза. Респект разработчикам.",2025-11-03,enterprise
R006,6,"Продукт хороший, но интерфейс запутанный. Новых сотрудников приходится обучать по 2 недели.",2025-11-04,enterprise
R007,2,"Подняли цены на 30% без предупреждения. Контракт заканчивается — будем искать альтернативу.",2025-11-04,smb
R008,8,"Аналитика по продажам — лучшая на рынке. Отчёты красивые и понятные.",2025-11-04,enterprise
R009,4,"Каждое обновление что-то ломает. После последнего апдейта слетели все настройки виджетов.",2025-11-05,smb
R010,9,"Перешли с Битрикса — небо и земля. Менеджеры наконец перестали жаловаться на CRM.",2025-11-05,enterprise
R011,5,"Середнячок. Ничего выдающегося, ничего ужасного. Работает и ладно.",2025-11-05,smb
R012,0,"Потеряли наши данные при миграции. 3 месяца переписки — всё пропало. До сих пор не восстановили.",2025-11-06,enterprise
R013,8,"API документация наконец стала нормальной. Пол года назад там был хаос.",2025-11-06,enterprise
R014,3,"Доставка из Москвы в Казань — 12 дней. Серьёзно? СДЭК за 3 дня привозит.",2025-11-06,smb
R015,7,"Хороший инструмент для небольшой команды. Нам хватает базового тарифа.",2025-11-07,smb
R016,2,"Техподдержка присылает шаблонные ответы, которые не имеют отношения к моему вопросу. Переписка по кругу.",2025-11-07,smb
R017,10,"Автоматизация рассылок экономит нам 20 часов в неделю. Окупилось за первый месяц.",2025-11-07,enterprise
R018,6,"Мобильное приложение сырое. Половина функций не работает, постоянно вылетает.",2025-11-08,smb
R019,4,"Ценник за enterprise-тариф неадекватный. За эти деньги ожидаешь выделенного менеджера, а получаешь общий чат.",2025-11-08,enterprise
R020,9,"Импорт данных из Excel — наконец-то без боли. Раньше каждый раз что-то ломалось.",2025-11-08,smb
R021,1,"Биллинг — кошмар. Списали деньги дважды, возврат обещали за 5 дней, прошёл месяц.",2025-11-09,smb
